Deletion	CorrCoefficient	Pvalue	Pvalue.FDR	Pvalue.FDR.quantile
dbp3	0.420203017626283	1.58259647952785e-101	3.28555945186486e-100	0.0881987577639751
mre11	0.419692797759079	3.2228455765084e-101	6.59788108301859e-100	0.0894409937888199
ssn6	0.417042371440562	6.9841097612612e-100	1.41021613535603e-98	0.0906832298136646
nop6	0.416008158104139	2.39042949319079e-99	4.76147712562598e-98	0.0919254658385093
ccr4	0.415857667431015	2.85809185765182e-99	5.61710319757171e-98	0.093167701863354
tlc1	0.415800732498189	3.05790670799659e-99	5.93072958893023e-98	0.0944099378881988
rrp6	0.413045851909726	7.91962476583557e-98	1.51604245517424e-96	0.0956521739130435
cap	0.410364646403248	1.82606826292068e-96	3.45080079428857e-95	0.0968944099378882
doc1	0.408944949890226	9.50811992572324e-96	1.77404667981216e-94	0.0981366459627329
rts1	0.408403896105161	1.94979436493116e-95	3.59249611738566e-94	0.0993788819875776
